name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas
Tomate frito ecológico con pimientos de piquillo Carrefour Bio sin gluten tarro 325 g.,"2,45 €",4.2 g,71 Kcal,295 KJ,0.83 g,7.6 g,0.6 g
Zumo de naranja Carrefour con pulpa brik 1 l.,"1,75 €",0 g,46 Kcal,192.59 KJ,0.01 g,11 g,0.6 g
Caldo de verduras Original Carrefour 12 pastillas,"0,89 €",0.5 g,4.0 Kcal,18.0 KJ,0.97 g,0.6 g,0.5 g
Barritas de galleta cubiertas de chocolate Carrefour sin aceite de palma 168 g.,"1,61 €",21 g,480 Kcal,2012 KJ,0.33 g,64 g,6.2 g
Galletas María Santiveri sin gluten y sin lactosa 180 g.,"2,65 €",13 g,439 Kcal,1848 KJ,0.38 g,72 g,5.6 g
Estofado de pavo con guarnición de hortalizas Carretilla 300 g.,"4,89 €",2.3 g,93 Kcal,392 KJ,0.80 g,4.1 g,13.5 g
Baguette Schär sin gluten y sin lactosa 350 g.,"4,05 €",3 g,267 Kcal,1130 KJ,1 g,54 g,2.9 g
Ensalada de pimientos del piquillo en tiras con cebolla Carrefour pack de 2 unidades 180 g.,"1,99 €",0 g,25 Kcal,105 KJ,0.4 g,4.9 g,0.6 g
Preparado para hacer tarta de queso en polvo Royal 325 g.,"4,09 €",8.4 g,223 Kcal,937 KJ,0.63 g,32 g,4.7 g
Complemento alimenticio con taurina en gel sabor fresa y kiwi Just Loading sin gluten doy pack de 3 unidades de 30 g.,"3,79 €",0 g,286 Kcal,1216 KJ,0.01 g,71.5 g,0 g
Sobrasada tradicional IGP de Mallorca El Zargal  sin gluten y sin lactosa 250 g.,"5,55 €",61 g,594 Kcal,2448 KJ,2.3 g,1.2 g,10 g
Barrita de barquillo rellena de leche cubierta de chocolate Huesitos Valor 12 ud.,"2,95 €",24 g,502 Kcal,2102 KJ,0.32 g,63 g,8.3 g
Aperitivo de maíz sabor queso Gublins Grefusa 124 g.,"1,76 €",27.0 g,515.0 Kcal,2152.0 KJ,2.0 g,60.0 g,6.2 g
Pan rallado crujiente para rebozar Gallo 500 g.,"1,63 €",3.5 g,366.5 Kcal,1552 KJ,1.5 g,70 g,12 g
Natillas de caramelo Carrefour pack de 4 unidades de 125 g.,"1,05 €",2.7 g,110 Kcal,463 KJ,0.15 g,19 g,2.6 g
Fiambre de Pechuga de Pavo para Sándwich en lonchas El Pozo sin gluten 270 g,"1,99 €",3 g,101 Kcal,425.5 KJ,2.4 g,9 g,9.5 g
Cerveza Mahou Mixta Shandy con limón pack de 12 latas de 33 cl.,"8,85 €",0 g,29 Kcal,124 KJ,0.02 g,6.0 g,0 g
Filetes de bacalao congelados Dimar 400 g.,"7,55 €",1.5 g,62 Kcal,260 KJ,1.5 g,0 g,12 g
Aquarius sabor limón zero azúcar sin calorías lata 33 cl.,"0,89 €",0 g,1 Kcal,5 KJ,0.05 g,0 g,0 g
Cereales con chocolate negro Special K Kellog's 500 g.,"4,99 €",6.1 g,424 Kcal,1790 KJ,0.64 g,81 g,8.2 g
Aceite de oliva virgen extra Retama garrafa 5 l.,"48,40 €",99.9 g,900 Kcal,3700 KJ,0 g,0 g,0 g
Aceite de oliva virgen extra hojiblanca Dcoop 1 l.,"14,89 €",100 g,900 Kcal,3700 KJ,0 g,0 g,0 g
Pan de leche Simpl 8 ud.,"1,20 €",12 g,350 Kcal,1470 KJ,0.98 g,50 g,9.3 g
Zumo de naranja Simon Life pack de 4 botellas de 20 cl.,"1,92 €",0.1 g,29 Kcal,129 KJ,0.02 g,7 g,0 g
Salsa burger Hellmann's envase 250 ml.,"2,49 €",22 g,250 Kcal,1046 KJ,1.4 g,12 g,1.1 g
Queso feta ecológico Carrefour Bio 180 g.,"5,15 €",25 g,300 Kcal,1244 KJ,1.8 g,2.2 g,17 g
Snacks de maíz sabor kétchup Grefusa 135 g.,"1,70 €",23 g,495 Kcal,2075 KJ,1 g,65 g,6.2 g
Ensaladilla rusa 800 g,"6,10 €",14 g,179 Kcal,741 KJ,1.2 g,7.8 g,4.8 g
Pimiento del piquillo entero Carrefour 225 g.,"1,12 €",0.5 g,47 Kcal,198 KJ,0.5 g,8.3 g,1.3 g
Cerveza Mahou Maestra Dunkel lager oscura botella 33 cl.,"1,58 €",0 g,56 Kcal,235 KJ,0.02 g,4.5 g,0.6 g
Bifidus probiótico coco natural ecológico Naturgreen sin gluten y sin azúcar 400 g.,"4,19 €",6.8 g,108.0 Kcal,449.0 KJ,0.03 g,9.7 g,0.8 g
Refresco de naranja Tang sin gas en polvo 30 g.,"0,90 €",0.1 g,11 Kcal,47 KJ,0.09 g,2.2 g,0.1 g
Yogur desnatado sabor coco Carrefour Classic' sin azúcar añadido pack de 4 unidades de 125 g.,"0,92 €",0.5 g,37 Kcal,155 KJ,0.15 g,4.9 g,4 g
Pizza quatrro formaggi Tradizionale 380 g,"4,59 €",9.2 g,244 Kcal,1026 KJ,1 g,30 g,9.8 g
Varitas de pescado 450 g.,"3,09 €",7.0 g,172.0 Kcal,720.0 KJ,0.9 g,15.1 g,11.6 g
Pechuga de pavo en lonchas El Pozo sin gluten 200 g,"2,75 €",1 g,69.8 Kcal,295.4 KJ,1.8 g,0.7 g,14.5 g
Magdalenas valenciana DulceSol sin aceite de palma 12 ud.,"2,29 €",25.0 g,457.0 Kcal,1911.0 KJ,0.7 g,52.0 g,5.4 g
Kéfir líquido natural Nestlé 500 g.,"1,99 €",1.5 g,44 Kcal,186 KJ,0.1 g,3.9 g,3.4 g
Gelatina sabor fresa jellies Carrefour sin gluten pack de 6 unidades de 100 g.,"0,94 €",0 g,76 Kcal,323 KJ,0.2 g,19 g,0 g
Chocolate con leche  Nestlé sin azúcar añadido 115 g.,"2,29 €",32.6 g,478 Kcal,1981 KJ,0.15 g,55.1 g,6.6 g
Chicles de menta suave Orbit White sin azúcar 64 g.,"3,99 €",0 g,155.0 Kcal,647.0 KJ,0.06 g,64.7 g,0 g
Galletas de mantequilla con tableta de chocolate blanco Carrefour 150 g.,"1,16 €",23 g,497 Kcal,2081 KJ,0.8 g,66 g,5.8 g
Harina de trigo sarraceno fina ecológica Sarchio sin gluten 500 g.,"4,85 €",2.6 g,339 Kcal,1437 KJ,0.01 g,66 g,10.2 g
Cacahuete cubierto de chocolate blanco Conguitos sin gluten y sin aceite de palma 220 g.,"3,35 €",32.6 g,541 Kcal,2259 KJ,0.12 g,49.7 g,10.8 g
Sándwich atún Carrefour 140 g,"1,43 €",7.5 g,189.0 Kcal,793.0 KJ,0.9 g,17.4 g,11.9 g
Mermelada de ciruela categoría extra Carrefour 410 g.,"1,58 €",0 g,196 Kcal,833 KJ,0 g,48 g,0.5 g
Galletas de trigo espelta con chips de chocolate ecológico Cerealim Bio 250 g.,"3,85 €",22 g,491 Kcal,2057 KJ,0.55 g,65 g,7.2 g
Alubia blanca categoría extra Carrefour 1 kg.,"1,85 €",2.0 g,289 Kcal,1210 KJ,0 g,33 g,20 g
Fructosa Carrefour Classic' 750 g.,"4,39 €",0 g,399 Kcal,1697 KJ,0 g,100 g,0 g
Cola de caballo plus 3 en bolsitas Pompadour 20 ud.,"2,99 €",0 g,1.0 Kcal,3.0 KJ,0 g,0.2 g,0 g
Leche condensada Nestlé La Lechera 450 g.,"3,55 €",8.0 g,321 Kcal,1356 KJ,0.20 g,54.9 g,7.5 g
Atún claro en aceite de oliva Classic Carrefour 73 g.,"1,38 €",7.5 g,172.0 Kcal,720.0 KJ,1.5 g,0 g,26.0 g
Queso mozzarella fresca light Toscanella Asturiana 100 g.,"1,51 €",10.5 g,165 Kcal,686 KJ,1 g,1.5 g,16 g
Tomate frito ecológico Orlando sin gluten 500 g.,"3,69 €",3.1 g,69 Kcal,269 KJ,1.5 g,9.2 g,1.1 g
Albóndigas vegetales con tomate Revolugreen sin gluten sin lactosa 250 g.,"3,59 €",7.6 g,143.0 Kcal,596.0 KJ,0.9 g,9.9 g,7.4 g
Carne de Mejillon cocido 80/120 Classic´ Carrefour 400 g.,"3,45 €",1.7 g,99 Kcal,418 KJ,0.55 g,5.5 g,15.3 g
Crema natural de gamba y rape Aneto sin gluten y sin lactosa brik de 500 ml.,"5,09 €",3.2 g,43 Kcal,179 KJ,0.91 g,2.0 g,1.3 g
Bloque de helado de turrón Carrefour 520 g.,"2,59 €",11 g,222 Kcal,930 KJ,0.16 g,28 g,3.3 g
Alioli suave Prima sin gluten envase 260 ml.,"2,99 €",72 g,654 Kcal,2692 KJ,0.7 g,2.5 g,0.7 g
Coles de Bruselas Carrefour 450 g.,"1,55 €",1.3 g,44.0 Kcal,185.0 KJ,0.03 g,2.5 g,3.5 g
Pasta Trecce Selección 1946 Gallo 450 g.,"1,67 €",2 g,344 Kcal,1458 KJ,0.03 g,66 g,14 g
Rollitos primavera Carrefour 225 g.,"1,17 €",2.3 g,104 Kcal,436 KJ,1.0 g,17 g,3.1 g
Salsa barbacoa Cero Prima sin gluten y sin azúcar añadido envase 265 g.,"2,69 €",0 g,37 Kcal,157 KJ,2.5 g,6.4 g,2.3 g
Leche fermentada líquida natural Danone Danacol sin gluten y sin azúcar añadido pack de 14 unidades de 100 g.,"8,55 €",1.1 g,43.0 Kcal,181.0 KJ,0.14 g,4.2 g,3.2 g
Yogur sabor vainilla con estrellitas chocolateadas Pop'n Croc Carrefour pack de 2 unidades de 125 g.,"1,10 €",4.9 g,135 Kcal,568 KJ,0.12 g,17.7 g,4.3 g
Azúcar moreno de caña especial postres Azucarera doy pack 750 g.,"2,69 €",0 g,380 Kcal,1615 KJ,0 g,95 g,0 g
Queso tierno El Ventero 980 g,"19,45 €",32 g,376 Kcal,1558 KJ,1.4 g,1 g,21 g
Setas nameko al natural Sensation Carrefour 180 g.,"2,09 €",0 g,18 Kcal,75 KJ,0.5 g,2.4 g,1.1 g
Queso fresco protein plus Burgo de Arias pack 3 unidades de 70 g.,"3,05 €",3.0 g,97.0 Kcal,410.0 KJ,1.0 g,4.0 g,14.0 g
Tallarines carbonara Extra Carrefour 190 g.,"1,60 €",5.6 g,366.0 Kcal,1546.0 KJ,2.8 g,66.0 g,12.0 g
Café frappuccino vainilla Starbucks 250 ml,"2,65 €",1.2 g,57 Kcal,242 KJ,0.09 g,8.8 g,2.8 g
Pizza USA burguer Carrefour 460 g,"4,75 €",10.8 g,267.0 Kcal,1122.0 KJ,1.6 g,33.0 g,9.8 g
Postre lácteo de proteínas líquido desnatado sabor chocolate Danone Yopro sin gluten 250 ml.,"1,63 €",0.3 g,47 Kcal,197 KJ,0.10 g,5.1 g,6 g
Bebida de fruta melocotón sin azúcar añadido Juver-disfruta pack de 6 brik de 20 cl.,"3,25 €",0.1 g,23 Kcal,99 KJ,0.025 g,4.8 g,0.3 g
Vino blanco brik 1 l.,"0,85 €",0.50 g,70 Kcal,290 KJ,0.018 g,0.50 g,1 g
Espárragos blancos 8/12 Carretilla 325 g.,"5,65 €",0.3 g,17 Kcal,71 KJ,0.87 g,2.5 g,0.8 g
Caramelos de goma Favoritos Haribo 275 g.,"3,39 €",0.5 g,334 Kcal,1420 KJ,0.07 g,80 g,4.4 g
Café soluble cappuccino vainilla Extra Carrefour 310 g.,"3,59 €",0.6 g,47 Kcal,200 KJ,0.06 g,9.2 g,1.1 g
Almendra tostada Simpl 200 g.,"2,30 €",53 g,667 Kcal,2763 KJ,1.6 g,21 g,21 g
El Hayedo 2021,"5,19 €",0.1 g,74 Kcal,307 KJ,0.01 g,1.3 g,0.2 g
Queso latino Goya 300 g.,"4,45 €",19 g,251 Kcal,1050 KJ,1.9 g,2 g,18 g
Monster Juiced Bebida Energética Limonada lata 50 cl.,"1,79 €",0 g,42.0 Kcal,177.0 KJ,0.08 g,11.0 g,0 g
Paella marinera Carretilla sin gluten sin aceite de palma 250 g.,"3,25 €",9.4 g,182 Kcal,763 KJ,1.40 g,19.3 g,4.9 g
Salchichón ibérico Gran Selección Navidul sin gluten 100 g.,"2,65 €",36 g,436 Kcal,1804 KJ,4 g,4 g,24 g
Anchoas en aceite de oliva Consorcio 53 g.,"7,69 €",11.0 g,213.0 Kcal,893.0 KJ,13.0 g,0.6 g,28.0 g
Tortillas de máiz y arroz Mission sin gluten 216 g.,"3,09 €",9 g,290 Kcal,1216 KJ,1.8 g,45 g,3.8 g
"Tomate frito con pimiento asado, cebolla y aceite de oliva virgen extra Orlando sin gluten 495 g.","2,79 €",4.7 g,91 Kcal,381 KJ,0.75 g,9.9 g,1.6 g
Pan rallado Carrefour Classic sin gluten y sin lactosa 200 g.,"1,25 €",3 g,392 Kcal,1659 KJ,1.3 g,86 g,6 g
Mostaza a la antigua Maille tarro 210 g.,"4,09 €",10 g,180 Kcal,730 KJ,5.2 g,9 g,7 g
Kéfir suave y natural ecológico Casa Grande de Xanceda sin gluten pack de 2 unidades de 125 g.,"1,99 €",5.0 g,79.7 Kcal,332.7 KJ,0.09 g,3.8 g,4.2 g
Tarrito de potaje de alubias y verduras desde 8 meses Hero Baby sin gluten pack de 2 unidades de 190 g.,"2,99 €",2.8 g,74 Kcal,310 KJ,0.04 g,8.6 g,2.2 g
Queso en loncha tierno light en lonchas Carrefour 200 g.,"3,49 €",18 g,280 Kcal,1168 KJ,1 g,0.7 g,29 g
Magro de cerdo marinado adobado Carrefour 500 g,"4,10 €",5.27 g,126 Kcal,528.7 KJ,1.06 g,0.90 g,19.01 g
Galletas María Fontaneda 800 g.,"3,29 €",11 g,437 Kcal,1841 KJ,0.84 g,76 g,7.6 g
Regañás con pipas de girasol Classic Carrefour 80 g.,"1,70 €",15.0 g,442.0 Kcal,1857.0 KJ,1.5 g,64.0 g,11.0 g
Galletas infantiles Hero Baby sin gluten 150 g.,"2,69 €",14 g,456 Kcal,1919 KJ,0.20 g,81 g,1.1 g
Batido de cacao Cacaolat sin gluten botella 1 l.,"2,49 €",1.5 g,67.0 Kcal,280.0 KJ,0.12 g,10.7 g,2.7 g
Tomate frito con aceite de oliva virgen extra Orlando sin gluten pack de 3 briks de 212 g.,"3,35 €",3.6 g,72 Kcal,300 KJ,1.5 g,8.1 g,1.2 g
Salsa de chile picante Sriracha Go-Tan botella 215 ml.,"3,59 €",1.0 g,89.0 Kcal,375.0 KJ,9.1 g,15.9 g,3.1 g
Alubias con verduras Classic Carrefour sin gluten 430 g.,"1,16 €",0.8 g,76 Kcal,322 KJ,0.8 g,11 g,4.3 g
Garbanzos cocidos al natural Carrefour 210 g.,"0,63 €",2 g,95 Kcal,401 KJ,0.5 g,12 g,5.4 g
Boletus y trufa De Nuestra Tierra 150 g.,"6,95 €",14 g,95 Kcal,399 KJ,2.7 g,3.24 g,6.7 g
Fanta de sandía sin azúcares añadidos lata 33 cl.,"0,75 €",0 g,2.0 Kcal,8.0 KJ,0.02 g,0.3 g,0 g
Queso emmental en lonchas Carrefour Classic' 200 g.,"1,99 €",30 g,386 Kcal,1603 KJ,1 g,0 g,29 g
Chocolate puro para fundir 100 g.,"0,55 €",29 g,515 Kcal,2151 KJ,,56 g,4.4 g
Pudding de proteínas sabor vainilla sin azúcar añadido Nestlé Lindahls 150 g.,"1,43 €",0.2 g,73 Kcal,305 KJ,0.12 g,7.2 g,10 g
Queso edam en lonchas Carrefour 200 g.,"1,39 €",24 g,312 Kcal,1296 KJ,2 g,0 g,24 g
Pasta Paccheri Terre d'Italia 500 g.,"2,45 €",1.3 g,356 Kcal,1511 KJ,0.01 g,73 g,12 g
Cuajada Danone sin gluten pack de 2 unidades de 135 g.,"1,50 €",5.30 g,94 Kcal,393 KJ,0.13 g,6.70 g,4.90 g
Leche fermentada desnatada con piña sin azúcar añadido Kaiku sin gluten sin lactosa pack de 4 unidades de 125 g.,"2,39 €",0.1 g,41 Kcal,176 KJ,0.13 g,5.8 g,4.3 g
Gnocchi de patata Carrefour Extra 500 g.,"1,09 €",0.5 g,155 Kcal,658 KJ,1.1 g,34 g,3.7 g
Avena suave integral Oatibix Weetabix 500 g.,"1,99 €",8 g,370 Kcal,1558 KJ,0.03 g,59 g,11 g
Trina de naranja sin gas lata 33 cl.,"0,72 €",0.0 g,34.0 Kcal,142.0 KJ,0.03 g,7.9 g,0.1 g
Yogur sabor fresa Carrefour Classic' pack de 4 unidades de 125 g.,"0,80 €",1.9 g,75 Kcal,315 KJ,0.11 g,11.4 g,3 g
Harina de garbanzo Carrefour sin gluten 500 g.,"1,99 €",5.7 g,369 Kcal,1557 KJ,0.05 g,54 g,20 g
Ensalada enrollados de pollo 300 g,"3,49 €",13 g,208 Kcal,869 KJ,1.0 g,14 g,8.1 g
Preparado de soja para cocinar Classic´ Carrefour pack de 3 unidades de 200 g.,"3,15 €",5 g,68 Kcal,284 KJ,0 g,2 g,3 g
Bebida de soja calcio sabor vainilla Carrefour sin gluten  brik 1 l.,"1,17 €",1.8 g,62 Kcal,262 KJ,0.1 g,8.2 g,3.3 g
Leche infantil de crecimiento 3 desde 12 meses ecológica HiPP  brik  500 g.,"14,15 €",3.4 g,62 Kcal,260 KJ,0.43 g,6 g,1.9 g
Chocolate negro relleno de plátano Carrefour sin gluten 100 g.,"0,99 €",32 g,541 Kcal,2257 KJ,0.15 g,58 g,4.5 g
Tila en bolsitas Ship 25 ud.,"1,08 €",0.0 g,1.0 Kcal,3.0 KJ,0.0 g,0.5 g,0.0 g
Cerveza Alhambra Lager Singular pack 6 botellas de 25 cl.,"4,15 €",0 g,49 Kcal,206 KJ,0 g,4.15 g,0.3 g
Cocktail de frutos secos sabor chilli Cocteleo sin gluten 360 g.,"3,35 €",30 g,528 Kcal,2202 KJ,1.5 g,46 g,14 g
Bocados Vegetal estilo Tex Mex Carrefour Sensation sin gluten 180 g.,"3,59 €",6.9 g,187.3 Kcal,787 KJ,1.7 g,1 g,29.9 g
Crema de calabaza Classic Carrefour sin gluten 1 l.,"1,99 €",1.8 g,40 Kcal,166 KJ,0.68 g,4.4 g,1 g
Yogur griego sabor lima limón Danone Oikos sin gluten pack de 4 unidades de 110 g.,"2,79 €",9.2 g,149 Kcal,623 KJ,0.12 g,13.6 g,3.0 g
"Néctar de piña Don Simón Disfruta sin azúcar añadido botella 1,5 l.","2,15 €",0 g,27 Kcal,114 KJ,0.01 g,6.3 g,0.3 g
Pasta spaghettini al huevo Gallo Selección 1946 450 g.,"1,70 €",2.7 g,350 Kcal,1484 KJ,0.13 g,67 g,13 g
Pan de molde rebanada estilo artesano brioche sabor a mantequilla Bimbo 550 g.,"3,39 €",3.3 g,263 Kcal,1113 KJ,1.2 g,46 g,10 g
Postre lácteo desnatado sabor chocolate protein pudding Danone Yopro 180 g.,"1,79 €",1.8 g,77 Kcal,322 KJ,0.26 g,4.8 g,10.4 g
Pasta cintas nido al huevo Extra Carrefour 500 g.,"1,25 €",3.5 g,365.0 Kcal,1544.0 KJ,0.12 g,67.0 g,14.0 g
Fideos orientales Yatekomo Yakisoba classic pack 2 unidades de 93 g.,"4,15 €",11 g,231 Kcal,966 KJ,1 g,28 g,4.1 g
Yogur sabor vainilla con grageas de chocolate Nestlé Smarties pack de 2 unidades de 128 g.,"2,09 €",4.9 g,492 Kcal,117 KJ,0.16 g,14.0 g,4.3 g
Mini Hamburguesa de Vacuno Ecológicas Carrefour Bio 360 g,"4,39 €",10 g,169 Kcal,704 KJ,1 g,0 g,19 g
Preparado lácteo infantil de crecimiento desde 1 año en polvo Nestlé Nativa 3 lata 800 g.,"11,45 €",21.5 g,485.0 Kcal,2033.0 KJ,0.500 g,62.0 g,10.8 g
Gyoza de pollo Ta-Tung 144 g.,"3,79 €",7.9 g,202.0 Kcal,848.0 KJ,2.3 g,25.0 g,6.7 g
Galletas Dibus Sharkies Gullón sin gluten y sin lactosa 250 g.,"3,25 €",16 g,459 Kcal,1930 KJ,0.43 g,75 g,1.9 g
