vendor,name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas,url
Carrefour,Tomate frito ecológico con pimientos de piquillo Carrefour Bio sin gluten tarro 325 g.,2.45,4.2 g,71 Kcal,295 KJ,0.83 g,7.6 g,0.6 g,https://www.carrefour.es/supermercado/tomate-frito-ecologico-con-pimientos-de-piquillo-carrefour-bio-sin-gluten-tarro-325-g/R-546306300/p
Carrefour,Zumo de naranja Carrefour con pulpa brik 1 l.,1.75,0 g,46 Kcal,192.59 KJ,0.01 g,11 g,0.6 g,https://www.carrefour.es/supermercado/zumo-de-naranja-carrefour-con-pulpa-brik-1-l/R-823705656/p
Carrefour,Caldo de verduras Original Carrefour 12 pastillas,0.89,0.5 g,4.0 Kcal,18.0 KJ,0.97 g,0.6 g,0.5 g,https://www.carrefour.es/supermercado/caldo-de-verduras-original-carrefour-12-pastillas/R-VC4AECOMM-270669/p
Carrefour,Barritas de galleta cubiertas de chocolate Carrefour sin aceite de palma 168 g.,1.61,21 g,480 Kcal,2012 KJ,0.33 g,64 g,6.2 g,https://www.carrefour.es/supermercado/barritas-de-galleta-cubiertas-de-chocolate-carrefour-sin-aceite-de-palma-168-g/R-VC4AECOMM-593137/p
Carrefour,Galletas María Santiveri sin gluten y sin lactosa 180 g.,2.65,13 g,439 Kcal,1848 KJ,0.38 g,72 g,5.6 g,https://www.carrefour.es/supermercado/galletas-maria-santiveri-sin-gluten-y-sin-lactosa-180-g/R-590208055/p
Carrefour,Estofado de pavo con guarnición de hortalizas Carretilla 300 g.,4.89,2.3 g,93 Kcal,392 KJ,0.80 g,4.1 g,13.5 g,https://www.carrefour.es/supermercado/estofado-de-pavo-con-guarnicion-de-hortalizas-carretilla-300-g/R-VC4AECOMM-482389/p
Carrefour,Baguette Schär sin gluten y sin lactosa 350 g.,4.05,3 g,267 Kcal,1130 KJ,1 g,54 g,2.9 g,https://www.carrefour.es/supermercado/baguette-schar-sin-gluten-y-sin-lactosa-350-g/R-651303637/p
Carrefour,Ensalada de pimientos del piquillo en tiras con cebolla Carrefour pack de 2 unidades 180 g.,1.99,0 g,25 Kcal,105 KJ,0.4 g,4.9 g,0.6 g,https://www.carrefour.es/supermercado/ensalada-de-pimientos-del-piquillo-en-tiras-con-cebolla-carrefour-pack-de-2-unidades-180-g/R-VC4AECOMM-433151/p
Carrefour,Preparado para hacer tarta de queso en polvo Royal 325 g.,4.09,8.4 g,223 Kcal,937 KJ,0.63 g,32 g,4.7 g,https://www.carrefour.es/supermercado/preparado-para-hacer-tarta-de-queso-en-polvo-royal-325-g/R-521004434/p
Carrefour,Complemento alimenticio con taurina en gel sabor fresa y kiwi Just Loading sin gluten doy pack de 3 unidades de 30 g.,3.79,0 g,286 Kcal,1216 KJ,0.01 g,71.5 g,0 g,https://www.carrefour.es/supermercado/complemento-alimenticio-con-taurina-en-gel-sabor-fresa-y-kiwi-just-loading-sin-gluten-doy-pack-de-3-unidades-de-30-g/R-768101369/p
Carrefour,Sobrasada tradicional IGP de Mallorca El Zargal  sin gluten y sin lactosa 250 g.,5.55,61 g,594 Kcal,2448 KJ,2.3 g,1.2 g,10 g,https://www.carrefour.es/supermercado/sobrasada-tradicional-igp-de-mallorca-el-zargal-sin-gluten-y-sin-lactosa-250-g/R-VC4AECOMM-709562/p
Carrefour,Barrita de barquillo rellena de leche cubierta de chocolate Huesitos Valor 12 ud.,2.95,24 g,502 Kcal,2102 KJ,0.32 g,63 g,8.3 g,https://www.carrefour.es/supermercado/barrita-de-barquillo-rellena-de-leche-cubierta-de-chocolate-huesitos-valor-12-ud/R-521004365/p
Carrefour,Aperitivo de maíz sabor queso Gublins Grefusa 124 g.,1.76,27.0 g,515.0 Kcal,2152.0 KJ,2.0 g,60.0 g,6.2 g,https://www.carrefour.es/supermercado/aperitivo-de-maiz-sabor-queso-gublins-grefusa-124-g/R-VC4AECOMM-653185/p
Carrefour,Pan rallado crujiente para rebozar Gallo 500 g.,1.63,3.5 g,366.5 Kcal,1552 KJ,1.5 g,70 g,12 g,https://www.carrefour.es/supermercado/pan-rallado-crujiente-para-rebozar-gallo-500-g/R-781837999/p
Carrefour,Natillas de caramelo Carrefour pack de 4 unidades de 125 g.,1.05,2.7 g,110 Kcal,463 KJ,0.15 g,19 g,2.6 g,https://www.carrefour.es/supermercado/natillas-de-caramelo-carrefour-pack-de-4-unidades-de-125-g/R-837832788/p
Carrefour,Fiambre de Pechuga de Pavo para Sándwich en lonchas El Pozo sin gluten 270 g,1.99,3 g,101 Kcal,425.5 KJ,2.4 g,9 g,9.5 g,https://www.carrefour.es/supermercado/fiambre-de-pechuga-de-pavo-para-sandwich-en-lonchas-el-pozo-sin-gluten-270-g/R-VC4AECOMM-711211/p
