vendor,id,display_name,packaging,unit_price,unit_weight,thumbnail,url
Mercadona,3819,Plátano de Canarias IGP,Pieza,0.32,0.16,https://prod-mercadona.imgix.net/images/e4a37940916985bf5ca166e266580c37.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3819/platano-canarias-igp-pieza
Mercadona,3824,Banana,Pieza,0.26,0.18,https://prod-mercadona.imgix.net/images/69edef3541bbf3f4b7173c9d617a5698.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3824/banana-pieza
Mercadona,3132,Plátano macho,Pieza,0.87,0.3,https://prod-mercadona.imgix.net/images/c22baa2a17de06fbf8477ef25392b7ca.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3132/platano-macho-pieza
Mercadona,3313,Uva blanca sin semillas,Bandeja,2.55,0.5,https://prod-mercadona.imgix.net/images/7b5610514b8fc646d0a02def291b8b6d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3313/uva-blanca-sin-semillas-bandeja
Mercadona,3321,Uva roja sin semillas,Bandeja,2.45,0.5,https://prod-mercadona.imgix.net/images/135c5523c4718645335dea06745a7021.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3321/uva-roja-sin-semillas-bandeja
Mercadona,3028,Manzana Golden,Pieza,0.44,0.21,https://prod-mercadona.imgix.net/images/0badb0be855ae3b5d11d4750b92c765b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3028/manzana-golden-pieza
Mercadona,3269,Manzanas Golden,Bolsa,2.84,1.5,https://prod-mercadona.imgix.net/images/fff0b633705b0eb0bc77f9a5e1d45b3c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3269/manzanas-golden-bolsa
Mercadona,3119,Pera Conferencia,Pieza,0.45,0.18,https://prod-mercadona.imgix.net/images/ee3e71e5011511764af6ba3edc41f4d2.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3119/pera-conferencia-pieza
Mercadona,3297,Peras Conferencia,Bandeja,2.69,1.5,https://prod-mercadona.imgix.net/images/51032a014399414f057b3020a930bf6b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3297/peras-conferencia-bandeja
Mercadona,8177,Manzana roja dulce,Pieza,0.72,0.26,https://prod-mercadona.imgix.net/images/966d3b08efd621e942126a54e6b81ed4.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/8177/manzana-roja-dulce-pieza
Mercadona,8280,Manzanas rojas dulces,Bolsa,3.59,1.5,https://prod-mercadona.imgix.net/images/72af5bfc30fcadef171074b4e1a0f420.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/8280/manzanas-rojas-dulces-bolsa
Mercadona,3170,Pera Ercolina,Pieza,0.31,0.09,https://prod-mercadona.imgix.net/images/8da98219dea475bc1170fe49a9afcbdf.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3170/pera-ercolina-pieza
Mercadona,3021,Manzana Granny Smith,Pieza,0.40,0.19,https://prod-mercadona.imgix.net/images/06e8c47d7373ac738378135cc9787b6b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3021/manzana-granny-smith-pieza
Mercadona,3267,Pera Rocha,Pieza,0.31,0.13,https://prod-mercadona.imgix.net/images/7be08c331cdd9aae806a258c5acc46af.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3267/pera-rocha-pieza
